26,24,23
41,40,49
25,24,26
27,28,29
45,44,36
61,66,50
68,45,39
6,60,49
40,31,2
59,61,60
66,51,50
3,40,2
40,39,31
25,19,18
38,25,30
31,28,2
20,18,19
35,20,19
21,34,33
57,63,62
59,58,62
42,43,48
40,47,39
45,35,46
67,63,64
64,53,65
42,51,52
43,55,44
49,40,3
7,60,6
59,60,7
8,59,7
66,67,65
56,54,63
8,58,59
8,57,58
62,67,61
50,41,49
61,67,66
42,53,43
59,62,61
58,57,62
5,6,49
5,49,4
60,61,50
60,50,49
51,41,50
28,1,2
4,49,3
30,29,32
32,28,31
28,22,1
28,27,22
24,18,23
23,27,26
23,22,27
32,29,28
26,27,29
30,25,26
31,30,32
29,30,26
46,35,19
39,30,31
39,45,46
52,53,42
47,40,41
39,47,68
41,51,42
25,38,19
30,39,38
47,42,68
37,36,33
48,45,68
48,43,44
48,44,45
43,54,55
38,46,19
38,39,46
25,18,24
33,34,37
34,20,35
21,18,20
20,34,21
35,45,36
18,17,23
18,21,17
21,16,17
35,37,34
33,15,16
35,36,37
36,14,33
21,33,16
36,44,14
15,33,14
65,53,52
54,43,53
54,64,63
54,53,64
14,44,13
65,67,64
62,63,67
51,65,52
51,66,65
68,42,48
47,41,42
9,57,8
56,63,57
9,56,57
55,54,56
10,56,9
10,55,56
13,44,55
11,55,10
12,55,11
13,55,12
